,fitz_type_Accuracy,fitz_type_loss,loss,male_Accuracy,male_loss,val_fitz_type_Accuracy,val_fitz_type_loss,val_loss,val_male_Accuracy,val_male_loss
0,0.29571589827537537,1.0603033304214478,1.5733695030212402,0.718113899230957,0.5095255374908447,0.16836459934711456,0.9286951422691345,1.5407602787017822,0.529603898525238,0.6126547455787659
1,0.439287394285202,0.8031154274940491,1.037980556488037,0.9000186324119568,0.23419472575187683,0.25942349433898926,0.9301365613937378,1.5164481401443481,0.529603898525238,0.5871933698654175
2,0.49190986156463623,0.7134919166564941,0.8768964409828186,0.9350425601005554,0.16302120685577393,0.309132844209671,0.8961174488067627,1.4382457733154297,0.5345478653907776,0.5431607961654663
3,0.5209644436836243,0.6637447476387024,0.795819103717804,0.9484395980834961,0.13196882605552673,0.3140169084072113,0.8275582790374756,1.29445219039917,0.6469706892967224,0.4679220914840698
4,0.5424282550811768,0.627292811870575,0.7427268624305725,0.9552712440490723,0.11510642617940903,0.41930845379829407,0.7362702488899231,1.0948797464370728,0.8233355283737183,0.35941657423973083
5,0.5559384226799011,0.6007665395736694,0.7034290432929993,0.959952175617218,0.1027301475405693,0.4956253468990326,0.6372921466827393,0.8795139789581299,0.9143345355987549,0.24273747205734253
6,0.5695285201072693,0.5771405696868896,0.6736819744110107,0.9620562791824341,0.09642139077186584,0.5538443326950073,0.5505660772323608,0.7022442817687988,0.9488224387168884,0.1517910361289978
7,0.5803785920143127,0.5583651065826416,0.6478290557861328,0.9642269611358643,0.08961060643196106,0.6025948524475098,0.48862531781196594,0.5887473225593567,0.9636543393135071,0.09996255487203598
8,0.5919678211212158,0.5405528545379639,0.625565230846405,0.9662978053092957,0.08482050150632858,0.6392401456832886,0.44776737689971924,0.5240954756736755,0.9706658124923706,0.07617171853780746
9,0.5989692807197571,0.5269777178764343,0.6078641414642334,0.9676294922828674,0.08112715929746628,0.6616827249526978,0.4230862259864807,0.48821285367012024,0.9739917516708374,0.06507423520088196
10,0.6071426272392273,0.5126742124557495,0.5901609063148499,0.969041109085083,0.07753363996744156,0.6764247417449951,0.4071632921695709,0.46669456362724304,0.9757595658302307,0.059564489871263504
11,0.6147300004959106,0.499908447265625,0.574352502822876,0.9700332283973694,0.07431936264038086,0.6861928701400757,0.3957441747188568,0.4519091546535492,0.9765385985374451,0.05619111284613609
12,0.6213852167129517,0.48868227005004883,0.5609833002090454,0.9707723259925842,0.07223522663116455,0.6936237812042236,0.38586822152137756,0.43972712755203247,0.9777970910072327,0.05373711884021759
13,0.6277807950973511,0.47886648774147034,0.5486317873001099,0.9715813398361206,0.06974674761295319,0.6999760270118713,0.377663254737854,0.42996490001678467,0.9780667424201965,0.052067339420318604
14,0.6343494057655334,0.46826887130737305,0.5361794829368591,0.9722172021865845,0.06774478405714035,0.7044405937194824,0.3708335757255554,0.42150261998176575,0.9786660075187683,0.05042112246155739
15,0.6391369104385376,0.46069371700286865,0.5265296697616577,0.9731727242469788,0.06595905870199203,0.7101935744285583,0.3635539412498474,0.4129343628883362,0.9791154861450195,0.04896793141961098
16,0.645259439945221,0.4526194930076599,0.5169636607170105,0.9734290838241577,0.06429536640644073,0.7150775790214539,0.35743290185928345,0.40556201338768005,0.9797447323799133,0.04763399064540863
17,0.6500835418701172,0.4445851743221283,0.5075191259384155,0.973775327205658,0.06295996904373169,0.7187930941581726,0.35174277424812317,0.3988109529018402,0.9800742864608765,0.04648445174098015
18,0.6545814275741577,0.4380808174610138,0.4989266097545624,0.9750105142593384,0.06085868179798126,0.722957968711853,0.3465336263179779,0.392682284116745,0.9803439974784851,0.045464981347322464
19,0.658752977848053,0.43209636211395264,0.49231088161468506,0.9751603007316589,0.0602656826376915,0.72772216796875,0.3410548269748688,0.38614073395729065,0.9809432625770569,0.04444483667612076
20,0.6628180146217346,0.4253906011581421,0.48433545231819153,0.975403368473053,0.058736465871334076,0.7307185530662537,0.3365861177444458,0.38108551502227783,0.9812728762626648,0.0437750369310379
21,0.6668997406959534,0.421108216047287,0.4791586995124817,0.9759327173233032,0.05780564248561859,0.7347336411476135,0.33203160762786865,0.37563779950141907,0.9816923141479492,0.04284825548529625
22,0.66988605260849,0.4145132601261139,0.47085851430892944,0.9765519499778748,0.05629625916481018,0.7384790778160095,0.32757461071014404,0.37050050497055054,0.9821417927742004,0.04211704060435295
23,0.6725228428840637,0.4101865589618683,0.46608543395996094,0.9767350554466248,0.05596422404050827,0.7419548034667969,0.32316267490386963,0.3653356432914734,0.982291579246521,0.04141734167933464
24,0.6785088777542114,0.403548002243042,0.45820683240890503,0.9770679473876953,0.054649386554956436,0.7453407049179077,0.3195263147354126,0.361412912607193,0.9824714064598083,0.04100387170910835
25,0.68133544921875,0.3990003764629364,0.45268258452415466,0.9774375557899475,0.05355607345700264,0.7483969330787659,0.31614282727241516,0.3572259843349457,0.9827710390090942,0.04016713798046112
26,0.6844915747642517,0.3938593566417694,0.4468405842781067,0.9773975610733032,0.05330723896622658,0.7515431046485901,0.3122941553592682,0.35289129614830017,0.9831605553627014,0.03961307927966118
27,0.687747597694397,0.3896762728691101,0.4421945810317993,0.9777171611785889,0.05261804535984993,0.7541499137878418,0.30881866812705994,0.34878718852996826,0.9831605553627014,0.03893961012363434
28,0.6907805800437927,0.38533398509025574,0.43722864985466003,0.9778569936752319,0.0516413114964962,0.7577754855155945,0.3054236173629761,0.3448888659477234,0.9834601879119873,0.03844662010669708
29,0.691919207572937,0.38279733061790466,0.43368616700172424,0.978436291217804,0.05090466886758804,0.7598729729652405,0.30233412981033325,0.34130340814590454,0.9835200905799866,0.03789200633764267
30,0.6970629096031189,0.3770894408226013,0.42729175090789795,0.9785528182983398,0.050152286887168884,0.7623000144958496,0.2992962598800659,0.33781880140304565,0.9838796854019165,0.03743784502148628
31,0.6983047127723694,0.373877614736557,0.4233707785606384,0.979118824005127,0.049278900027275085,0.7645472288131714,0.29627320170402527,0.33457499742507935,0.9838197231292725,0.03719436749815941
32,0.7019935846328735,0.3702305257320404,0.41934123635292053,0.9792253375053406,0.04899578168988228,0.7668843865394592,0.2932077944278717,0.3310117721557617,0.9845088720321655,0.036646828055381775
33,0.7043673396110535,0.3662453591823578,0.41469278931617737,0.9792885780334473,0.04871370270848274,0.7696410417556763,0.29042255878448486,0.32792723178863525,0.984389066696167,0.036366552114486694
34,0.7078131437301636,0.36315280199050903,0.4109138548374176,0.9794151186943054,0.04785047844052315,0.7721879482269287,0.2876709997653961,0.32467448711395264,0.9849583506584167,0.03581593930721283
35,0.7093213200569153,0.36002805829048157,0.40792950987815857,0.979411780834198,0.04791339114308357,0.7744951248168945,0.28489646315574646,0.32151585817337036,0.9851081967353821,0.03544914722442627
36,0.7118781805038452,0.356817364692688,0.40348970890045166,0.9798579216003418,0.04668872430920601,0.776023268699646,0.2826792299747467,0.3188784420490265,0.9851381182670593,0.035052672028541565
37,0.7134861946105957,0.3539566993713379,0.4005180597305298,0.9800443649291992,0.04649754613637924,0.7781506776809692,0.28014910221099854,0.3161354660987854,0.9853478670120239,0.03471849858760834
38,0.7151142358779907,0.35081449151039124,0.3968413174152374,0.9801941514015198,0.0457034558057785,0.7808173894882202,0.27776315808296204,0.3134423494338989,0.9852879643440247,0.034424494951963425
39,0.7187297940254211,0.34800803661346436,0.3935582935810089,0.9803805947303772,0.045474469661712646,0.7827950119972229,0.275302529335022,0.31074896454811096,0.9854977130889893,0.03418082371354103
40,0.7209004759788513,0.34546464681625366,0.3906881809234619,0.9804838299751282,0.04538712278008461,0.7840534448623657,0.2732831835746765,0.308373361825943,0.9854977130889893,0.03383728489279747
41,0.7224752306938171,0.3417702615261078,0.3870399594306946,0.9805337190628052,0.04513143375515938,0.7868400812149048,0.27089959383010864,0.30580934882164,0.9851980805397034,0.03367985785007477
42,0.7252052426338196,0.3398059904575348,0.3844354748725891,0.9804571866989136,0.04470330476760864,0.7880685329437256,0.26872915029525757,0.30317172408103943,0.9854977130889893,0.033205583691596985
43,0.7276656031608582,0.3366660177707672,0.38030707836151123,0.9814959168434143,0.04355539381504059,0.7900161743164062,0.26637497544288635,0.3007519245147705,0.9856175184249878,0.03309887647628784
44,0.7289739847183228,0.3342440724372864,0.3778500556945801,0.9812395572662354,0.04347558319568634,0.7917240858078003,0.26425471901893616,0.29837656021118164,0.9855276346206665,0.03282010927796364
45,0.7311513423919678,0.3306746482849121,0.3738315999507904,0.9813960194587708,0.04277319833636284,0.7934919595718384,0.26241499185562134,0.2962621748447418,0.9856175184249878,0.032555948942899704
46,0.7336716055870056,0.3286784291267395,0.3720781207084656,0.9813361167907715,0.043327730149030685,0.7950500249862671,0.26016107201576233,0.2938055992126465,0.9858272671699524,0.032302603125572205
47,0.7339379191398621,0.32817453145980835,0.3703462481498718,0.9816889762878418,0.04224821552634239,0.7966081500053406,0.25834086537361145,0.2917177677154541,0.9859172105789185,0.032035794109106064
