,Accuracy,loss,val_Accuracy,val_loss
0,0.3025275766849518,1.0428051948547363,0.3000839054584503,0.9491522908210754
1,0.44761723279953003,0.7895691990852356,0.17336848378181458,0.9802345633506775
2,0.49878814816474915,0.700878918170929,0.17555582523345947,0.9790183305740356
3,0.5272501111030579,0.6516169309616089,0.26107150316238403,0.9325882196426392
4,0.5452847480773926,0.6176217198371887,0.40261879563331604,0.8419762849807739
5,0.5620809197425842,0.5888323783874512,0.4869958758354187,0.7195526957511902
6,0.5763301849365234,0.5651827454566956,0.5643614530563354,0.5958290100097656
7,0.5875598192214966,0.5464720129966736,0.6194342970848083,0.5022222399711609
8,0.5975110530853271,0.5295021533966064,0.6543716788291931,0.4471698999404907
9,0.6077286005020142,0.5134761333465576,0.6755558252334595,0.4164853096008301
10,0.6147500276565552,0.5010878443717957,0.6887097954750061,0.39833077788352966
11,0.622816801071167,0.4883633255958557,0.6975190043449402,0.3862780034542084
12,0.6297417283058167,0.47745972871780396,0.7043507099151611,0.3765430450439453
13,0.6350119709968567,0.4679587185382843,0.7109127044677734,0.36859625577926636
14,0.6408647894859314,0.4585123360157013,0.7158865928649902,0.36151522397994995
15,0.6474534273147583,0.4506036937236786,0.7217594385147095,0.3547132909297943
16,0.6530699133872986,0.44219401478767395,0.7261341214179993,0.3489833474159241
17,0.6573180556297302,0.4346994459629059,0.730478823184967,0.34307241439819336
18,0.6619157791137695,0.42817938327789307,0.7348535060882568,0.3380122780799866
19,0.6659009456634521,0.4219566583633423,0.7377299666404724,0.3332163393497467
20,0.6697828769683838,0.41654345393180847,0.741715133190155,0.3285014033317566
21,0.6762649416923523,0.4085254967212677,0.7460598349571228,0.3236978352069855
22,0.6783457398414612,0.40450745820999146,0.7505243420600891,0.3193539083003998
23,0.6822776198387146,0.39827483892440796,0.7530412673950195,0.3156369924545288
24,0.6866556406021118,0.3929182291030884,0.7565769553184509,0.3116556704044342
25,0.6897651553153992,0.3889690637588501,0.7597231268882751,0.3074615001678467
26,0.6928813457489014,0.3843176066875458,0.762090265750885,0.3040018081665039
27,0.6966633796691895,0.3801739811897278,0.7655959725379944,0.3005356788635254
28,0.6991170644760132,0.3754362165927887,0.7675735354423523,0.29738351702690125
29,0.7024363875389099,0.3713887333869934,0.7708095908164978,0.2944428026676178
30,0.7033485770225525,0.3690178692340851,0.7726373672485352,0.2913525104522705
