,Accuracy,loss,val_Accuracy,val_loss
0,0.9580458402633667,0.12488264590501785,0.678653359413147,0.4930838346481323
1,0.9851393103599548,0.05575396120548248,0.8750296831130981,0.3483140766620636
2,0.9866058826446533,0.048209164291620255,0.944220244884491,0.21405315399169922
3,0.9877333641052246,0.04438289999961853,0.9860748648643494,0.060582730919122696
4,0.9879283308982849,0.04275120049715042,0.9877759218215942,0.044376686215400696
5,0.9884708523750305,0.04060528799891472,0.9882901906967163,0.042405541986227036
6,0.9886065125465393,0.03861472010612488,0.9888440370559692,0.04033954069018364
7,0.9886912703514099,0.038117144256830215,0.9891605377197266,0.041129495948553085
8,0.9887675642967224,0.03708811476826668,0.9893978834152222,0.03961213305592537
9,0.9893101453781128,0.03619452193379402,0.9886462688446045,0.04129050672054291
10,0.9891999363899231,0.035390980541706085,0.9896748065948486,0.039607614278793335
11,0.9894202947616577,0.03458984196186066,0.9887253642082214,0.04025540500879288
12,0.9895559549331665,0.033939871937036514,0.9894770383834839,0.03868013620376587
13,0.9897424578666687,0.03284513205289841,0.9895561337471008,0.03882203623652458
14,0.9898526668548584,0.03213933855295181,0.9895561337471008,0.038575705140829086
15,0.9900985360145569,0.0313667356967926,0.9897143840789795,0.03876248002052307
16,0.9899120330810547,0.03122369758784771,0.9899517297744751,0.03895323723554611
17,0.99056476354599,0.030696554109454155,0.9891605377197266,0.04135121777653694
18,0.9900391697883606,0.03163068741559982,0.9891605377197266,0.039436131715774536
19,0.9904969334602356,0.030074309557676315,0.989437460899353,0.03998875617980957
20,0.9905562996864319,0.028960328549146652,0.9895561337471008,0.04062136635184288
21,0.990547776222229,0.02884969301521778,0.9893187880516052,0.04020083695650101
22,0.9906579852104187,0.028192846104502678,0.9892792105674744,0.040828052908182144
23,0.9909462332725525,0.027867358177900314,0.9897143840789795,0.04147667437791824
24,0.9906665086746216,0.02833779901266098,0.9893978834152222,0.039415452629327774
25,0.9909801483154297,0.027148956432938576,0.9893583059310913,0.041678570210933685
26,0.9909801483154297,0.027040783315896988,0.9892396330833435,0.039169106632471085
27,0.9914294481277466,0.02617214061319828,0.9891605377197266,0.04022703692317009
28,0.9914548993110657,0.02572459727525711,0.9893583059310913,0.04164554551243782
29,0.9915651082992554,0.025018248707056046,0.98951655626297,0.040905099362134933
30,0.9915481209754944,0.025173448026180267,0.9893978834152222,0.04082943871617317
31,0.9921754598617554,0.02396850660443306,0.9896352291107178,0.041455406695604324
32,0.9915904998779297,0.024111125618219376,0.9894770383834839,0.04459555819630623
